account_id,is_suspicious_account,risk_score,rank
900000000128,1,99.96,1
900000000116,1,99.95,2
900000000114,1,99.94,3
900000000157,1,99.94,4
900000000167,1,99.94,5
900000000139,1,99.93,6
900000000126,1,99.93,7
900000000113,1,99.93,8
900000000107,1,99.91,9
900000000150,1,99.91,10
900000000129,1,99.91,11
900000000127,1,99.91,12
900000000149,1,99.9,13
900000000034,1,99.9,14
900000000101,1,99.9,15
900000000168,1,99.9,16
900000000122,1,99.89,17
900000000138,1,99.89,18
900000000008,1,99.89,19
900000000079,1,99.89,20
900000000170,1,99.88,21
900000000158,1,99.86,22
900000000017,1,99.86,23
5074743934,1,99.86,24
900000000155,1,99.84,25
900000000013,1,99.83,26
900000000036,1,99.83,27
900000000161,1,99.83,28
900000000153,1,99.83,29
900000000133,1,99.83,30
900000000165,1,99.82,31
900000000164,1,99.82,32
900000000016,1,99.81,33
900000000005,1,99.81,34
900000000058,1,99.79,35
900000000092,1,99.79,36
900000000054,1,99.79,37
900000000097,1,99.79,38
900000000064,1,99.79,39
900000000081,1,99.78,40
900000000131,1,99.78,41
900000000056,1,99.76,42
900000000118,1,99.76,43
900000000010,1,99.76,44
900000000102,1,99.75,45
900000000124,1,99.74,46
900000000037,1,99.74,47
900000000132,1,99.73,48
900000000040,1,99.73,49
900000000143,1,99.73,50
900000000162,1,99.72,51
900000000069,1,99.71,52
900000000028,1,99.71,53
900000000050,1,99.7,54
900000000123,1,99.7,55
900000000111,1,99.69,56
900000000151,1,99.68,57
900000000015,1,99.67,58
900000000042,1,99.65,59
900000000044,1,99.65,60
900000000045,1,99.65,61
900000000022,1,99.63,62
900000000109,1,99.63,63
900000000063,1,99.61,64
900000000057,1,99.61,65
900000000071,1,99.6,66
900000000070,1,99.6,67
900000000029,1,99.6,68
900000000171,1,99.6,69
900000000108,1,99.59,70
900000000080,1,99.58,71
900000000075,1,99.58,72
900000000048,1,99.57,73
900000000137,1,99.56,74
900000000031,1,99.56,75
900000000068,1,99.55,76
900000000091,1,99.55,77
900000000055,1,99.54,78
900000000041,1,99.47,79
900000000073,1,99.45,80
900000000144,1,99.43,81
900000000163,1,99.42,82
900000000020,1,99.37,83
900000000093,1,99.37,84
900000000094,1,99.37,85
900000000095,1,99.37,86
900000000159,1,99.34,87
900000000154,1,99.32,88
8093648634,1,99.32,89
900000000117,1,99.32,90
900000000060,1,99.3,91
900000000083,1,99.29,92
900000000026,1,99.28,93
900000000039,1,99.25,94
6837507008,1,99.21,95
900000000147,1,99.2,96
900000000115,1,99.2,97
900000000078,1,99.18,98
900000000106,1,99.18,99
900000000135,1,99.16,100
900000000046,1,99.15,101
4928880336,1,99.1,102
900000000086,1,99.09,103
900000000007,1,99.07,104
900000000145,1,99.07,105
900000000141,1,99.05,106
900000000076,1,99.04,107
900000000103,1,98.98,108
900000000160,1,98.95,109
900000000049,1,98.95,110
2987279234,1,98.94,111
900000000018,1,98.92,112
900000000067,1,98.88,113
900000000074,1,98.86,114
900000000152,1,98.78,115
900000000112,1,98.74,116
2482785525,1,98.71,117
445154846,1,98.66,118
8501920513,1,98.59,119
900000000119,1,98.54,120
4501271268,1,98.49,121
900000000062,1,98.47,122
900000000004,1,98.45,123
900000000146,1,98.45,124
3366160080,1,98.45,125
900000000027,1,98.4,126
900000000084,1,98.34,127
900000000134,1,98.32,128
900000000051,1,98.31,129
900000000142,1,98.26,130
900000000090,1,98.17,131
900000000098,1,98.17,132
2520061873,1,98.14,133
9722096196,1,98.08,134
900000000089,1,98.03,135
900000000082,1,97.96,136
900000000002,1,97.83,137
900000000087,1,97.79,138
900000000043,1,97.75,139
900000000006,1,97.7,140
7951108994,1,97.63,141
8600542721,1,97.56,142
1082642344,1,97.47,143
900000000065,1,97.26,144
900000000019,1,97.13,145
900000000047,1,97.13,146
900000000072,1,97.09,147
900000000038,1,96.86,148
900000000085,1,96.82,149
900000000169,1,96.79,150
900000000104,1,96.75,151
4497771501,1,96.69,152
900000000024,1,96.63,153
4675771219,1,96.59,154
900000000021,1,96.59,155
900000000099,1,96.48,156
1587046893,1,96.47,157
2737194318,1,96.35,158
900000000166,1,96.31,159
900000000014,1,96.16,160
4689351304,1,96.14,161
900000000136,1,96.13,162
900000000009,1,96.04,163
900000000110,1,96.03,164
900000000032,1,96.0,165
459201377,1,95.96,166
900000000003,1,95.94,167
6088569153,1,95.93,168
900000000035,1,95.93,169
900000000121,1,95.84,170
900000000148,1,95.79,171
900000000156,1,95.76,172
6658116904,1,95.75,173
900000000052,1,95.69,174
4972307187,1,95.55,175
7877406257,1,95.5,176
8212001718,1,95.48,177
3591030456,1,95.07,178
7279271900,1,95.02,179
9444956233,1,94.94,180
8201057754,1,94.8,181
900000000096,1,94.79,182
8498139448,1,94.72,183
900000000059,1,94.62,184
900000000077,1,94.39,185
927895922,1,94.34,186
2697605096,1,94.19,187
6185822816,0,94.15,188
900000000011,1,94.14,189
3962781574,1,93.95,190
900000000066,1,93.88,191
6340007440,1,93.86,192
2528352705,1,93.85,193
900000000023,1,93.79,194
6267865191,1,93.77,195
3173291888,1,93.74,196
9741665599,1,93.47,197
5869654043,1,93.41,198
389024076,1,93.21,199
900000000140,1,93.2,200
900000000061,1,92.92,201
4254045660,1,92.9,202
1681811645,1,92.89,203
900000000100,1,92.37,204
900000000120,1,92.33,205
1775046511,1,92.32,206
900000000053,1,92.27,207
5971760311,1,91.82,208
900000000033,1,91.5,209
3895286750,1,91.49,210
6469485685,1,91.11,211
900000000088,1,90.74,212
1766338062,1,90.63,213
6558961368,1,90.28,214
3767006545,1,89.97,215
988008298,1,89.55,216
6081504025,1,89.4,217
5040384414,1,89.09,218
3546293157,1,88.92,219
5098225823,1,88.36,220
900000000030,1,88.09,221
120902347,1,88.03,222
9678311627,1,87.99,223
4604350890,1,87.86,224
2531548770,1,87.82,225
9021009219,1,87.63,226
9141887311,1,87.38,227
5932891635,1,87.24,228
2975433371,1,86.89,229
6283846212,1,86.77,230
8394329540,1,86.21,231
3661955783,0,84.88,232
5262095561,1,84.33,233
900000000001,1,84.12,234
3989101183,1,83.83,235
7900125583,1,83.72,236
8202539172,1,82.18,237
142007788,1,81.93,238
2327949023,1,81.14,239
3919105611,1,80.61,240
6219666393,1,80.34,241
7401327478,1,79.34,242
524887805,1,79.22,243
7147448786,1,78.97,244
266182901,1,78.73,245
2286679717,1,78.42,246
4100600686,1,78.29,247
900000000012,1,78.21,248
9696157978,1,78.18,249
900000000125,1,76.7,250
9553458659,1,76.69,251
9855729126,1,76.45,252
900000000025,1,76.45,253
5748489103,1,75.86,254
9278039525,0,75.58,255
2220672185,0,75.55,256
6771036247,1,74.57,257
7863533708,1,73.43,258
264156943,0,72.57,259
987302110,1,71.54,260
5880103662,0,70.93,261
390237565,1,70.89,262
4405331748,1,70.59,263
415383141,0,70.38,264
466498973,1,70.18,265
947838216,1,68.84,266
6644790956,1,68.67,267
900000000130,1,68.09,268
726077956,1,67.9,269
7803522559,1,67.8,270
1407059664,1,67.15,271
5111509251,1,67.13,272
9366623986,0,66.65,273
3267846600,1,65.3,274
7701458546,1,63.36,275
6172401566,0,63.26,276
4336451277,1,63.06,277
4316483340,1,62.04,278
5535491870,1,61.27,279
2369776263,1,60.97,280
6630835092,0,60.89,281
1524705161,0,59.33,282
2875874575,1,58.26,283
6381030298,1,58.17,284
5825377846,1,57.58,285
3758118046,1,57.1,286
5033262977,1,56.74,287
9107206798,1,56.23,288
2626270774,1,56.08,289
8004477581,0,55.77,290
8776038564,0,54.88,291
600972086,0,54.33,292
5218803866,1,54.26,293
7397837957,0,53.25,294
5263424774,0,52.93,295
976070224,1,52.78,296
9644319578,0,52.36,297
4548390037,1,51.52,298
2801498355,0,49.8,299
8686241992,0,48.78,300
5772924864,1,48.63,301
3979625953,1,48.22,302
3623327233,1,47.24,303
8707551848,1,46.8,304
447076893,0,46.1,305
4939108392,0,45.68,306
7238701735,0,45.06,307
8159558514,0,44.84,308
1077741499,1,43.98,309
1854342411,0,43.91,310
7428739953,0,43.67,311
4783616175,1,43.56,312
4173136393,0,43.42,313
5846417383,0,42.96,314
905071615,0,42.86,315
9330449479,1,42.6,316
900000000105,1,42.54,317
5804990951,0,41.66,318
6858317023,0,41.13,319
1291265097,1,40.66,320
7077658180,0,39.38,321
4346395450,1,39.34,322
8459451078,0,39.24,323
1608520845,0,39.05,324
4182571887,0,38.09,325
2238095611,0,37.66,326
7640186886,0,37.66,327
5709569908,1,37.42,328
2090244022,1,36.65,329
2784061950,0,35.92,330
2078538423,0,35.69,331
1095517442,0,35.63,332
9488471937,1,35.0,333
2082151261,0,34.59,334
2216658739,0,34.52,335
207936746,1,34.32,336
4365398534,0,34.15,337
2409725572,0,33.96,338
5715254851,0,33.84,339
9282040297,0,33.23,340
735534497,0,32.98,341
7157996321,0,32.58,342
4083626700,0,32.57,343
1587011594,0,32.18,344
7179149024,0,32.01,345
7645358465,0,31.47,346
2758469152,1,31.3,347
6471790267,0,30.73,348
5216531044,0,30.68,349
108323461,0,30.11,350
6855720762,1,29.56,351
4556240961,0,29.35,352
1061581498,0,28.97,353
9605034666,0,28.92,354
1649347145,0,28.87,355
2696568123,0,28.83,356
1453133756,0,28.46,357
8358432026,0,28.14,358
1352768610,0,28.12,359
